Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,lldp_map
2,Text,Standard,1,,,,,,,DCA-Spine1
3,Text,Standard,1,,,,,,,DCA-Spine2
4,Text,Standard,1,,,,,,,DCA-Leaf1a
5,Text,Standard,1,,,,,,,DCA-Leaf1b
6,Text,Standard,1,,,,,,,DCA-Leaf2a
7,Text,Standard,1,,,,,,,DCA-Leaf2b
8,Text,Standard,1,,,,,,,DCA-LeafBLa
9,Text,Standard,1,,,,,,,DCA-LeafBLb
10,Text,Standard,1,,,,,,,DCA-Agg1
11,Text,Standard,1,,,,,,,DCA-Agg2
12,Text,Standard,1,,,,,,,DCB-Spine1
13,Text,Standard,1,,,,,,,DCB-Spine2
14,Text,Standard,1,,,,,,,DCB-Leaf1a
15,Text,Standard,1,,,,,,,DCB-Leaf1b
16,Text,Standard,1,,,,,,,DCB-Leaf2a
17,Text,Standard,1,,,,,,,DCB-Leaf2b
18,Text,Standard,1,,,,,,,DCB-LeafBLa
19,Text,Standard,1,,,,,,,DCB-LeafBLb
20,Text,Standard,1,,,,,,,DCB-Agg1
21,Text,Standard,1,,,,,,,DCB-Agg2
22,Text,Standard,1,,,,,,,Core1
23,Text,Standard,1,,,,,,,Core2
24,Line,,1,,,2,4,None,None,
25,Line,,1,,,2,5,None,None,
26,Line,,1,,,2,6,None,None,
27,Line,,1,,,2,7,None,None,
28,Line,,1,,,2,8,None,None,
29,Line,,1,,,2,9,None,None,
30,Line,,1,,,2,3,None,None,
31,Line,,1,,,2,3,None,None,
32,Line,,1,,,3,4,None,None,
33,Line,,1,,,3,5,None,None,
34,Line,,1,,,3,6,None,None,
35,Line,,1,,,3,7,None,None,
36,Line,,1,,,3,8,None,None,
37,Line,,1,,,3,9,None,None,
38,Line,,1,,,4,5,None,None,
39,Line,,1,,,4,5,None,None,
40,Line,,1,,,6,7,None,None,
41,Line,,1,,,6,7,None,None,
42,Line,,1,,,8,10,None,None,
43,Line,,1,,,8,11,None,None,
44,Line,,1,,,8,9,None,None,
45,Line,,1,,,8,9,None,None,
46,Line,,1,,,9,10,None,None,
47,Line,,1,,,9,11,None,None,
48,Line,,1,,,10,22,None,None,
49,Line,,1,,,10,23,None,None,
50,Line,,1,,,10,11,None,None,
51,Line,,1,,,11,22,None,None,
52,Line,,1,,,11,23,None,None,
53,Line,,1,,,12,14,None,None,
54,Line,,1,,,12,15,None,None,
55,Line,,1,,,12,16,None,None,
56,Line,,1,,,12,17,None,None,
57,Line,,1,,,12,18,None,None,
58,Line,,1,,,12,19,None,None,
59,Line,,1,,,12,13,None,None,
60,Line,,1,,,12,13,None,None,
61,Line,,1,,,12,17,None,None,
62,Line,,1,,,12,13,None,None,
63,Line,,1,,,12,16,None,None,
64,Line,,1,,,13,14,None,None,
65,Line,,1,,,13,15,None,None,
66,Line,,1,,,13,16,None,None,
67,Line,,1,,,13,17,None,None,
68,Line,,1,,,13,18,None,None,
69,Line,,1,,,13,19,None,None,
70,Line,,1,,,13,17,None,None,
71,Line,,1,,,13,16,None,None,
72,Line,,1,,,14,15,None,None,
73,Line,,1,,,14,15,None,None,
74,Line,,1,,,16,17,None,None,
75,Line,,1,,,16,17,None,None,
76,Line,,1,,,16,17,None,None,
77,Line,,1,,,18,20,None,None,
78,Line,,1,,,18,21,None,None,
79,Line,,1,,,18,19,None,None,
80,Line,,1,,,18,19,None,None,
81,Line,,1,,,19,20,None,None,
82,Line,,1,,,19,21,None,None,
83,Line,,1,,,20,22,None,None,
84,Line,,1,,,20,23,None,None,
85,Line,,1,,,20,21,None,None,
86,Line,,1,,,21,22,None,None,
87,Line,,1,,,21,23,None,None,
88,Line,,1,,,22,23,None,None,
